FleetCode,GearGrpCode,ReDate,Lat,Lon
EU.ESP,TROL,2007-08-11,44.08333333,-2.083333333
EU.ESP,TROL,2007-08-11,44.08333333,-2.083333333
EU.ESP,TROL,2007-08-11,43.76666667,-2.016666667
EU.ESP,TROL,2007-10-06,43.96666667,-2.233333333
EU.ESP,TROL,2007-08-18,43.58333333,-1.95
EU.ESP,TROL,2007-08-18,43.71666667,-2.016666667
EU.ESP,TROL,2007-08-18,43.71666667,-2.016666667
EU.ESP,TROL,2007-08-18,43.71666667,-2.016666667
EU.ESP,TROL,2007-08-18,43.71666667,-2.033333333
EU.ESP,TROL,2007-08-18,43.71666667,-2.033333333
EU.ESP,TROL,2016-06-25,43.50333333,-1.945
EU.ESP,TROL,2016-06-25,43.485,-1.951666667
EU.ESP,TROL,2007-08-11,43.6,-2
EU.ESP,TROL,2007-08-11,43.6,-2
EU.ESP,TROL,2007-08-11,43.6,-2
EU.ESP,TROL,2007-08-11,43.6,-2
EU.ESP,TROL,2007-08-11,43.6,-2
EU.ESP,TROL,2007-08-11,43.58333333,-1.95
EU.ESP,RRFB,2016-05-14,41.642,2.913
EU.ESP,RRFB,2017-06-04,41.1167,1.9668
EU.ESP,RRFB,2017-05-21,41.59758,2.90863
EU.ESP,RRFB,2016-05-28,41.13,1.95
EU.ESP,TROL,2007-08-18,43.7,-2.016666667
EU.ESP,TROL,2007-08-18,43.7,-2.016666667
EU.ESP,TROL,2007-08-18,43.73333333,-2.033333333
EU.ESP,TROL,2007-08-11,43.71666667,-2.083333333
EU.ESP,TROL,2007-08-11,43.65,-2.05
EU.ESP,TROL,2007-08-11,43.61666667,-1.983333333
EU.ESP,TROL,2007-08-11,43.61666667,-1.983333333
EU.ESP,TROL,2007-08-11,43.63333333,-2.066666667
EU.ESP,TROL,2007-08-18,43.6,-2.016666667
EU.ESP,TROL,2007-08-18,43.63333333,-2.05
EU.ESP,TROL,2007-08-18,43.96666667,-2.1
EU.ESP,RRFB,2017-05-21,41.63965,2.9077165
EU.ESP,TROL,2007-08-11,43.65,-2.016666667
EU.ESP,TROL,2007-08-11,43.71666667,-2.05
EU.ESP,TROL,2007-08-11,43.41666667,-1.833333333
EU.ESP,TROL,2007-08-18,43.78333333,-2.033333333
EU.ESP,TROL,2007-08-18,43.78333333,-2.016666667
EU.ESP,TROL,2007-08-18,43.78333333,-2.016666667
EU.ESP,TROL,2007-08-18,43.7,-1.966666667
EU.ITA,RRFB,2011-08-17,42.95777,14.28916
